"dispute_id","description","category"
"D522","I was debited but the merchant's transaction ID is not generated.","FAILED_TRANSACTION"
"D523","My bank says the payment was successful, but the merchant says it failed.","FAILED_TRANSACTION"
"D524","I have a charge for an online session that I was unable to join due to a technical error.","FAILED_TRANSACTION"
"D525","The system took my money but didn't generate the e-ticket.","FAILED_TRANSACTION"
"D526","I'm seeking a reversal for a debit where the credit to the beneficiary failed.","FAILED_TRANSACTION"
"D527","The payment for my insurance premium was deducted but the policy was not renewed.","FAILED_TRANSACTION"
"D528","This transaction is in a questionable state. I was charged but nothing happened.","FAILED_TRANSACTION"
"D529","The amount was reserved on my card for a purchase that didn't materialize.","FAILED_TRANSACTION"
"D530","There's a debit on my account that doesn't correspond to a successful order.","FAILED_TRANSACTION"
"D531","The website was down, but my payment attempt seems to have been charged.","FAILED_TRANSACTION"
"D532","My card was charged but the merchant has no knowledge of this transaction.","FAILED_TRANSACTION"
"D533","The amount has been deducted, but my bill is still showing as unpaid.","FAILED_TRANSACTION"
"D534","I'm reporting a transaction where the money left my account but vanished.","FAILED_TRANSACTION"
"D535","This payment seems to have failed silently. My account was debited with no result.","FAILED_TRANSACTION"
"D536","The money was taken but the beneficiary account number was invalid.","FAILED_TRANSACTION"
"D537","I have been charged for an item that is now out of stock and the order was cancelled.","FAILED_TRANSACTION"
"D538","This UPI payment is stuck. The receiver has not got the money.","FAILED_TRANSACTION"
"D539","The application form submission failed, but the application fee was taken.","FAILED_TRANSACTION"
"D540","I got a debit alert, but the merchant confirmation page never loaded.","FAILED_TRANSACTION"
"D541","My money is in limbo. It was debited but the transaction didn't complete.","FAILED_TRANSACTION"
"D542","The electricity bill is still outstanding despite my account being debited for it.","FAILED_TRANSACTION"
"D543","I have a debit but no corresponding credit to the intended recipient.","FAILED_TRANSACTION"
"D544","My transaction was not confirmed but the funds have been taken from my account.","FAILED_TRANSACTION"
"D545","The merchant's system crashed during the transaction. My card was charged.","FAILED_TRANSACTION"
"D546","This debit needs to be refunded as the service was not rendered due to a system failure.","FAILED_TRANSACTION"
"D547","The movie ticket booking failed but the amount was deducted.","FAILED_TRANSACTION"
"D548","I was debited but the merchant asked me to pay again as it had not gone through.","FAILED_TRANSACTION"
"D549","There's an issue with this payment. It was debited but the outcome is unknown.","FAILED_TRANSACTION"
"D550","My funds were debited, but the transfer did not go through as intended.","FAILED_TRANSACTION"
"D551","The transaction did not result in a valid order. Please refund the amount.","FAILED_TRANSACTION"
"D552","The merchant cancelled the transaction due to a timeout, but my account shows a debit.","FAILED_TRANSACTION"
"D553","The money was cut but the service I was paying for is still inactive.","FAILED_TRANSACTION"
"D554","My wallet was debited, but the funds were not added to the merchant's wallet.","FAILED_TRANSACTION"
"D555","This charge corresponds to an unsuccessful attempt to book a hotel.","FAILED_TRANSACTION"
"D556","I'm raising a dispute for a debit without a successful transaction.","FAILED_TRANSACTION"
"D557","The payment seems to be lost. My bank debited it, but the recipient never got it.","FAILED_TRANSACTION"
"D558","I was charged, but the service subscription failed to activate.","FAILED_TRANSACTION"
"D559","My account was debited but the investment transaction was not processed.","FAILED_TRANSACTION"
"D560","I am missing money from my account related to a transaction that didn't work.","FAILED_TRANSACTION"
"D561","This NEFT is showing as processed but the beneficiary claims they haven't received anything.","FAILED_TRANSACTION"
"D562","A transaction hold was placed on my account for a purchase that was ultimately cancelled.","FAILED_TRANSACTION"
"D563","The money was debited but the beneficiary details are wrong, so it should have been returned by now.","FAILED_TRANSACTION"
"D564","I have a debit for this amount, but the merchant provided a refund in cash because their machine wasn't working.","FAILED_TRANSACTION"
"D565","This amount was for a pre-authorization that should have been voided.","FAILED_TRANSACTION"
"D566","My transaction from yesterday is still not reflecting in the beneficiary account.","FAILED_TRANSACTION"
"D567","The merchant charged me, then their system failed and they issued a credit note, but the charge is still there.","FAILED_TRANSACTION"
"D568","This IMPS transaction is stuck and has not been credited to the recipient's account.","FAILED_TRANSACTION"
"D569","The funds have been deducted but the purpose, which was time-sensitive, has failed.","FAILED_TRANSACTION"
"D570","I was told this was a temporary hold, but it has been posted as a final charge.","FAILED_TRANSACTION"
"D571","The debit occurred, but the associated service was cancelled by the provider.","FAILED_TRANSACTION"
"D572","This transaction was supposed to be declined due to security settings, but it went through and failed later.","FAILED_TRANSACTION"
"D573","The money was sent to a UPI ID that is now inactive. It should have bounced back.","FAILED_TRANSACTION"
"D574","This charge is from a vending machine that took my money but did not dispense the product.","FAILED_TRANSACTION"
"D575","I have a debit that corresponds to a payment made via a link that has now expired.","FAILED_TRANSACTION"
"D576","The transaction was successful from my end, but the merchant's bank rejected it.","FAILED_TRANSACTION"
"D577","I have been debited for a financial product that was not issued in the end.","FAILED_TRANSACTION"
"D578","The amount was deducted but the trade on the platform was not executed.","FAILED_TRANSACTION"
"D579","This debit is for a payment that exceeded the transaction limit and should have failed.","FAILED_TRANSACTION"
"D580","The money has been debited but the beneficiary account has been closed.","FAILED_TRANSACTION"
"D581","This transfer is showing as successful but it was sent to an incorrect account type.","FAILED_TRANSACTION"
"D582","I paid for an item that the merchant later told me they could not deliver.","FAILED_TRANSACTION"
"D583","The charge is for a deposit on a rental that was cancelled due to unavailability.","FAILED_TRANSACTION"
"D584","A hold was placed on my card for gas, but the final charge was never processed correctly.","FAILED_TRANSACTION"
"D585","I was debited, but the payment was rejected by the merchant's gateway.","FAILED_TRANSACTION"
"D586","This charge relates to an automated payment for an account that I have already closed.","FAILED_TRANSACTION"
"D587","The merchant tried to process the payment multiple times, I was charged but they said all failed.","FAILED_TRANSACTION"
"D588","This debit is for a payment to a mobile number that is no longer in service.","FAILED_TRANSACTION"
"D589","The transaction seems to have been reversed and then charged again, but the initial charge remains.","FAILED_TRANSACTION"
"D590","I have been charged for a service that was not provided due to a technical outage on the merchant's side.","FAILED_TRANSACTION"
"D591","The payment confirmation for this debit was never received.","FAILED_TRANSACTION"
"D592","This transfer has been 'under process' for an entire week. It has clearly failed.","FAILED_TRANSACTION"
"D593","The amount has been taken but the associated loan application was rejected.","FAILED_TRANSACTION"
"D594","I have a charge from a parking meter that did not add any time to my session.","FAILED_TRANSACTION"
"D595","The money was debited but the international transfer did not complete due to compliance issues.","FAILED_TRANSACTION"
"D596","This transaction should have been blocked by my daily limit settings.","FAILED_TRANSACTION"
"D597","A payment was made to a company that has since ceased operations.","FAILED_TRANSACTION"
"D598","The beneficiary is a student who has now graduated, their fee account is closed.","FAILED_TRANSACTION"
"D599","I was debited for a payment towards a closed credit card account.","FAILED_TRANSACTION"
"D600","This amount has been in a 'settlement pending' state for too long.","FAILED_TRANSACTION"
"D601","The debit is for a subscription to a service that is no longer available in my country.","FAILED_TRANSACTION"
"D602","I received a 'delivery failed' notice for this digital gift card, but I was charged.","FAILED_TRANSACTION"
"D603","This transaction has been floating for days without being credited or reversed.","FAILED_TRANSACTION"
"D604","My account was debited for a payment made to an incorrect biller ID.","FAILED_TRANSACTION"
"D605","The merchant confirmed that my payment was voided in their system.","FAILED_TRANSACTION"
"D606","This charge should have been refunded automatically after the transaction failed.","FAILED_TRANSACTION"
"D607","I have been debited for a transaction that was flagged for review and then disappeared.","FAILED_TRANSACTION"
"D608","The recipient's bank account details were invalid, so the payment should have reversed instantly.","FAILED_TRANSACTION"
"D609","This payment was made to an account that the beneficiary says has been frozen.","FAILED_TRANSACTION"
"D610","The debit is present, but there is no corresponding UTR number for this NEFT.","FAILED_TRANSACTION"
"D611","The funds for this transaction were returned to the source, but my account has not been credited.","FAILED_TRANSACTION"
"D612","This payment was for a crowd-funding project that did not meet its goal.","FAILED_TRANSACTION"
"D613","I was charged for an item, but my order was cancelled because it failed a security check.","FAILED_TRANSACTION"
"D614","The money was sent to a VPA that is not linked to any bank account.","FAILED_TRANSACTION"
"D615","A fee was debited for a service that the provider was ultimately unable to offer.","FAILED_TRANSACTION"
"D616","This is an authorization hold for a rental that I cancelled well in advance.","FAILED_TRANSACTION"
"D617","The debit is for an international purchase that was blocked by customs.","FAILED_TRANSACTION"
"D618","This debit is tied to a transaction that was supposed to be on hold but seems to have been processed.","FAILED_TRANSACTION"
"D619","My account was charged, but the merchant cancelled the transaction due to a stock error.","FAILED_TRANSACTION"
"D620","I have a debit here but the merchant claims they never received an authorization code.","FAILED_TRANSACTION"
"D621","I returned the item two weeks ago but I am still waiting for the refund.","REFUND_PENDING"
"D622","My order was cancelled by the merchant, but the refund has not been processed yet.","REFUND_PENDING"
"D623","I was promised a refund for the faulty product, but I have not received it.","REFUND_PENDING"
"D624","Still waiting for the money to be credited back after a cancelled transaction.","REFUND_PENDING"
"D625","How long does the refund take? It's been 10 business days since I returned the product.","REFUND_PENDING"
"D626","The merchant confirmed the refund on their end, but it's not showing in my account.","REFUND_PENDING"
"D627","This charge was for a flight that was cancelled. I am waiting for the airline to refund me.","REFUND_PENDING"
"D628","I'm following up on a refund for a returned clothing item.","REFUND_PENDING"
"D629","The refund for my cancelled hotel booking has not been received.","REFUND_PENDING"
"D630","The status of my return is 'complete', but where is my refund?","REFUND_PENDING"
"D631","Please check on the status of my refund for order #12345.","REFUND_PENDING"
"D632","I was told the refund would be processed in 5-7 days, but it has been much longer.","REFUND_PENDING"
"D633","This is a dispute for a pending refund from an online store.","REFUND_PENDING"
"D634","The service was cancelled and I am yet to receive the promised refund.","REFUND_PENDING"
"D635","My account was debited, but the order was cancelled. Still no refund.","REFUND_PENDING"
"D636","I am still awaiting a credit for the goods I returned last month.","REFUND_PENDING"
"D637","The company agreed to a partial refund, which I have not seen yet.","REFUND_PENDING"
"D638","This transaction was supposed to be refunded. It's still pending.","REFUND_PENDING"
"D639","Following up on a refund that was initiated on August 5th.","REFUND_PENDING"
"D640","My event tickets were cancelled and I am waiting for the refund to be processed.","REFUND_PENDING"
"D641","I have the refund confirmation email, but the money is not in my account.","REFUND_PENDING"
"D642","I am yet to receive the refund for the duplicate charge I reported earlier.","REFUND_PENDING"
"D643","The subscription was cancelled, but the pro-rata refund has not been credited.","REFUND_PENDING"
"D644","It has been over a month and I am still waiting for my security deposit refund.","REFUND_PENDING"
"D645","The merchant is not responding to my queries about my pending refund.","REFUND_PENDING"
"D646","I was charged for an out-of-stock item. I'm waiting for the refund.","REFUND_PENDING"
"D647","Requesting an update on a refund for a returned electronic device.","REFUND_PENDING"
"D648","I cancelled my membership and I am expecting a refund for the unused period.","REFUND_PENDING"
"D649","The refund for the damaged item I received is still outstanding.","REFUND_PENDING"
"D650","The credit for my returned merchandise has not been posted to my account.","REFUND_PENDING"
"D651","This charge was accidentally made twice and I am waiting for the refund of the second one.","REFUND_PENDING"
"D652","My refund is taking much longer than the merchant's stated policy.","REFUND_PENDING"
"D653","I have not been refunded for the part of my order that was not delivered.","REFUND_PENDING"
"D654","Still no sign of the refund for my cancelled food delivery order.","REFUND_PENDING"
"D655","The item was returned successfully. Awaiting refund.","REFUND_PENDING"
"D656","I'm raising a dispute as the merchant has failed to refund me for a returned item.","REFUND_PENDING"
"D657","I'm waiting for a credit to appear on my statement for a cancelled service.","REFUND_PENDING"
"D658","The refund process for my returned shoes has been stuck for weeks.","REFUND_PENDING"
"D659","I was told I would receive a full refund, which has not happened yet.","REFUND_PENDING"
"D660","The merchant is delaying my refund without any valid reason.","REFUND_PENDING"
"D661","The refund for the wrong item sent is still pending.","REFUND_PENDING"
"D662","I was issued a credit note, but I requested a refund to my card. Still waiting.","REFUND_PENDING"
"D663","This charge should have been reversed after I cancelled the booking.","REFUND_PENDING"
"D664","Awaiting refund for a double charge incident from last week.","REFUND_PENDING"
"D665","The rental agency owes me a refund for the deposit.","REFUND_PENDING"
"D666","My return was accepted, but the refund is nowhere to be seen.","REFUND_PENDING"
"D667","The seller marked the item as refunded, but the amount has not been credited.","REFUND_PENDING"
"D668","It has been 15 days, and my refund is still being processed.","REFUND_PENDING"
"D669","I am missing a refund from this merchant for a returned package.","REFUND_PENDING"
"D670","The tour was cancelled due to weather, and I am waiting for the company to refund me.","REFUND_PENDING"
"D671","How much longer do I have to wait for my money to be returned?","REFUND_PENDING"
"D672","This is an inquiry about an overdue refund.","REFUND_PENDING"
"D673","My refund for the unsatisfactory service has not been processed.","REFUND_PENDING"
"D674","I returned the item using the provided shipping label. When do I get my refund?","REFUND_PENDING"
"D675","The system automatically cancelled my order but the refund is not automatic.","REFUND_PENDING"
"D676","The overcharged amount on my bill was supposed to be refunded.","REFUND_PENDING"
"D677","I have been patiently waiting for a refund that was promised to me.","REFUND_PENDING"
"D678","The merchant's customer service confirmed my refund but it has not arrived.","REFUND_PENDING"
"D679","I am still waiting for the balance of my refund to be paid.","REFUND_PENDING"
"D680","My money has been held for a cancelled order for too long.","REFUND_PENDING"
"D681","I cancelled the service well within the refund period. Still waiting for the money.","REFUND_PENDING"
"D682","The refund for my undelivered order has not been credited to my account.","REFUND_PENDING"
"D683","This charge needs to be refunded as the item was sent back to the seller.","REFUND_PENDING"
"D684","I want to know why my refund is taking so long.","REFUND_PENDING"
"D685","The merchant keeps telling me the refund is 'on its way'.","REFUND_PENDING"
"D686","I cancelled my pre-order and am now waiting for the refund.","REFUND_PENDING"
"D687","Still awaiting reimbursement for a charge that should have been voided.","REFUND_PENDING"
"D688","The product was returned and received by the warehouse. Where's my credit?","REFUND_PENDING"
"D689","This is a formal dispute for a non-receipt of a promised refund.","REFUND_PENDING"
"D690","My refund is stuck in processing according to the merchant's portal.","REFUND_PENDING"
"D691","I sent the item back. What is the status of my credit?","REFUND_PENDING"
"D692","The order was cancelled. When will the amount be reversed?","REFUND_PENDING"
"D693","I was not satisfied with the purchase and returned it. I haven't seen the money back yet.","REFUND_PENDING"
"D694","The merchant acknowledged my return request. How long until the money is back on my card?","REFUND_PENDING"
"D695","The flight got cancelled. The airline issued a voucher but I want the money back.","REFUND_PENDING"
"D696","I was overcharged for my meal. The manager said he would reverse the charge.","REFUND_PENDING"
"D697","The package was returned to sender. I expect the charge to be removed.","REFUND_PENDING"
"D698","My appointment was cancelled by the clinic. When can I expect the prepayment to be returned?","REFUND_PENDING"
"D699","I'm writing about a charge for an item that I have already sent back.","REFUND_PENDING"
"D700","The quality was very poor, so I returned it. I'm waiting for the amount to be credited.","REFUND_PENDING"
"D701","My return tracking shows the item was delivered back to them last week.","REFUND_PENDING"
"D702","I exercised my cooling-off rights and cancelled the contract. The initial payment has not been returned.","REFUND_PENDING"
"D703","The company is not honouring its money-back guarantee.","REFUND_PENDING"
"D704","I have a credit note from the merchant, but I need the amount back in my bank account.","REFUND_PENDING"
"D705","The duplicate payment I made by mistake has not been returned yet.","REFUND_PENDING"
"D706","My trip was cancelled due to the travel restrictions. I have applied for a refund.","REFUND_PENDING"
"D707","The item didn't fit, so I mailed it back as per the instructions.","REFUND_PENDING"
"D708","The concert was postponed indefinitely. The organizers said they would issue refunds.","REFUND_PENDING"
"D709","I cancelled my subscription. What about the charge for the current month?","REFUND_PENDING"
"D710","The product was not as described, so it was returned. I'm waiting for my money.","REFUND_PENDING"
"D711","The hotel charged me a deposit that was supposed to be returned at check-out.","REFUND_PENDING"
"D712","I refused the delivery because the box was damaged. The charge should be reversed.","REFUND_PENDING"
"D713","The workshop was cancelled. The fee has not been returned.","REFUND_PENDING"
"D714","The seller agreed to a return and refund, but has gone quiet since receiving the item.","REFUND_PENDING"
"D715","I have an RMA number for my return. The amount has not been credited.","REFUND_PENDING"
"D716","The initial transaction failed, but I was charged. The merchant then charged me again on a successful transaction. The first charge needs to be returned.","REFUND_PENDING"
"D717","I'm following up on a credit that was supposed to be applied to my account.","REFUND_PENDING"
"D718","The incorrect item was delivered and I sent it back.","REFUND_PENDING"
"D719","My trial period ended and I cancelled, but I was charged for the full subscription.","REFUND_PENDING"
"D720","The car rental company charged me for damages that I did not cause. They promised a reversal after investigation.","REFUND_PENDING"
"D721","I returned the equipment as per my rental agreement. My deposit has not been returned.","REFUND_PENDING"
"D722","The event did not take place. The charge for the ticket is still on my card.","REFUND_PENDING"
"D723","I'm looking for a credit to offset this charge for a returned product.","REFUND_PENDING"
"D724","The vet cancelled the procedure but my prepayment has not been returned.","REFUND_PENDING"
"D725","My order was incomplete. The customer service agent said I would be credited for the missing items.","REFUND_PENDING"
"D726","I am still waiting for the balance of my account to be returned after closing it.","REFUND_PENDING"
"D727","The merchant made a billing error and promised a credit on my next statement. It is not there.","REFUND_PENDING"
"D728","I've sent back the faulty hardware. The money has not been returned.","REFUND_PENDING"
"D729","The store manager promised to void this transaction. It is still showing as posted.","REFUND_PENDING"
"D730","My return was processed in-store and I was told the refund would be automatic.","REFUND_PENDING"
"D731","This charge is for a service I cancelled the next day.","REFUND_PENDING"
"D732","The delivery was never made, so I cancelled the order.","REFUND_PENDING"
"D733","The company went out of business before providing the service I paid for.","REFUND_PENDING"
"D734","I've been corresponding with the merchant about a return for weeks.","REFUND_PENDING"
"D735","This charge was for a security deposit on a short-term lease. I have since moved out.","REFUND_PENDING"
"D736","The second leg of my flight was cancelled. The airline owes me a partial refund.","REFUND_PENDING"
"D737","I opted for store credit initially, but now I want a refund to my card as promised.","REFUND_PENDING"
"D738","The item was recalled by the manufacturer. I returned it as instructed.","REFUND_PENDING"
"D739","I have an email chain with the merchant agreeing to credit my account.","REFUND_PENDING"
"D740","This charge should have been reversed when I returned the rental car with a full tank.","REFUND_PENDING"
"D741","The product arrived too late, so I rejected the shipment.","REFUND_PENDING"
"D742","The total charged was incorrect. I'm awaiting a credit for the difference.","REFUND_PENDING"
"D743","The software did not work with my system. I have uninstalled it and requested my money back.","REFUND_PENDING"
"D744","The tour operator cancelled my booking due to low numbers.","REFUND_PENDING"
"D745","I returned this purchase to a physical store location. The refund has not appeared.","REFUND_PENDING"
"D746","I was advised that a credit would be processed for the service outage.","REFUND_PENDING"
"D747","This transaction was disputed and a provisional credit was issued, then reversed. The merchant still owes me the refund.","REFUND_PENDING"
"D748","The final cost was lower than the pre-authorization hold. I am waiting for the difference.","REFUND_PENDING"
"D749","My account is still showing this debit for a returned item.","REFUND_PENDING"
"D750","This company is giving me the runaround about returning my money.","REFUND_PENDING"
"D751","I cancelled the order within the 30-minute window.","REFUND_PENDING"
"D752","The gift I bought was returned by the recipient.","REFUND_PENDING"
"D753","The subscription renewal was processed after I had already cancelled it.","REFUND_PENDING"
"D754","The plumber couldn't fix the issue, but charged me anyway. He said he would refund it.","REFUND_PENDING"
"D755","My account was debited for a book that was never dispatched.","REFUND_PENDING"
"D756","The course was not what was advertised. I have withdrawn and requested my fee back.","REFUND_PENDING"
"D757","This is the charge for a deposit on a venue which has now been cancelled.","REFUND_PENDING"
"D758","I have a receipt for the return of this item.","REFUND_PENDING"
"D759","The item was damaged in transit and I have sent it back.","REFUND_PENDING"
"D760","The hotel changed my booking and promised a partial credit for the inconvenience.","REFUND_PENDING"
"D761","The merchant and I have agreed to cancel this transaction.","REFUND_PENDING"
"D762","I'm still in discussion with the seller about the poor quality of the goods. They mentioned a refund.","REFUND_PENDING"
"D763","This transaction relates to a service that was not performed to a satisfactory standard.","REFUND_PENDING"
"D764","The company has issued a 'refund pending' status on my account for over a month.","REFUND_PENDING"
"D765","The service was discontinued by the provider, and my account needs to be credited.","REFUND_PENDING"
"D766","This was a pre-payment for a job that was never started.","REFUND_PENDING"
"D767","I have an open ticket with the merchant's support team regarding this charge.","REFUND_PENDING"
"D768","The resolution for my complaint was a credit to my account, which has not been applied.","REFUND_PENDING"
"D769","The item was not authentic. I have returned it and am expecting my money back.","REFUND_PENDING"
"D770","The provider is in breach of contract. I have terminated the agreement.","REFUND_PENDING"
"D771","This transaction was for a deposit on an apartment I did not end up renting.","REFUND_PENDING"
"D772","I've reached out to the merchant multiple times about this issue.","REFUND_PENDING"
"D773","This charge is for a custom order that the merchant was unable to fulfill.","REFUND_PENDING"
"D774","My return shipment seems to be lost, but the insurance should cover a refund.","REFUND_PENDING"
"D775","The company's insolvency administrator said they would be processing refunds.","REFUND_PENDING"
"D776","The goods were not fit for purpose and I have since disposed of them as instructed.","REFUND_PENDING"
"D777","This charge is for a service contract that I have cancelled due to non-performance.","REFUND_PENDING"
"D778","I'm escalating this issue as the merchant is not complying with their own refund policy.","REFUND_PENDING"
"D779","The 'money-back guarantee' has not been honoured by the seller.","REFUND_PENDING"
"D780","I have written proof from the seller that this charge would be reversed.","REFUND_PENDING"
"D781","This payment was for a holiday package that has now been cancelled by the operator.","REFUND_PENDING"
"D782","The digital product key was invalid. The seller promised to sort it out.","REFUND_PENDING"
"D783","The chargeback I initiated was closed, but the merchant had already agreed to refund me separately.","REFUND_PENDING"
"D784","This charge is for an annual fee for a card I have already cancelled.","REFUND_PENDING"
"D785","The business has closed down and I need to get my money back for the undelivered goods.","REFUND_PENDING"
"D786","The agreed-upon discount was not applied to the transaction. I was told the difference would be credited.","REFUND_PENDING"
"D787","This was a holding deposit for an item that I decided not to purchase in the end.","REFUND_PENDING"
"D788","The terms of sale stated a refund would be provided if the item was not as described. It wasn't.","REFUND_PENDING"
"D789","My account was credited, but then the credit was inexplicably reversed.","REFUND_PENDING"
"D790","The seller has stopped replying to my emails after I returned the defective item.","REFUND_PENDING"
"D791","I was charged a cancellation fee that should have been waived.","REFUND_PENDING"
"D792","The item was part of a buy-one-get-one-free offer. I returned the paid item.","REFUND_PENDING"
"D793","This charge relates to an ongoing dispute that I have with the service provider.","REFUND_PENDING"
"D794","The repair was unsuccessful, and the shop's policy is to not charge for that.","REFUND_PENDING"
"D795","The legal proceedings concluded that I am owed this amount back from the merchant.","REFUND_PENDING"
"D796","I have been trying to resolve this with the merchant for a very long time.","REFUND_PENDING"
"D797","The item arrived with parts missing. The seller offered a partial credit.","REFUND_PENDING"
"D798","This was a goodwill gesture promised by a manager that has not materialized.","REFUND_PENDING"
"D799","I am invoking my statutory rights to a refund for this faulty product.","REFUND_PENDING"
"D800","The difference between the estimated cost and the final cost is supposed to be returned.","REFUND_PENDING"
"D801","This was for a class that was cancelled due to low enrollment.","REFUND_PENDING"
"D802","The credit adjustment promised for the billing error has not appeared.","REFUND_PENDING"
"D803","I cancelled this order but was persuaded to accept a voucher, which I do not want.","REFUND_PENDING"
"D804","The project was abandoned and the contractor agreed to return my initial payment.","REFUND_PENDING"
"D805","This amount should have been returned to my account automatically.","REFUND_PENDING"
"D806","I'm dissatisfied with the outcome of my complaint to the merchant.","REFUND_PENDING"
"D807","The item is not compatible with my other devices as was advertised.","REFUND_PENDING"
"D808","I am still waiting for the pro-rated credit after downgrading my plan.","REFUND_PENDING"
"D809","This fee should have been refunded as I met the waiver conditions.","REFUND_PENDING"
"D810","The merchant's system for processing returns seems to be broken.","REFUND_PENDING"
"D811","I have a reference number for my refund request.","REFUND_PENDING"
"D812","The trader is legally obligated to return my money in this situation.","REFUND_PENDING"
"D813","My complaint to the ombudsman resulted in a decision that I should be refunded.","REFUND_PENDING"
"D814","The price dropped right after I bought the item, and I was promised a price adjustment credit.","REFUND_PENDING"
"D815","The service did not deliver the promised results.","REFUND_PENDING"
"D816","I'm stuck in a loop with customer service about this payment.","REFUND_PENDING"
"D817","This charge is associated with a returned item that seems to have been misplaced by the merchant.","REFUND_PENDING"
"D818","The seller's return portal has been down for weeks.","REFUND_PENDING"
"D819","This was a deposit for a product that is now on backorder indefinitely.","REFUND_PENDING"
"D820","The promised cashback on this purchase was never applied.","REFUND_PENDING"
"D821","The amount charged is incorrect. It should have been for a lower amount.","OTHERS"
"D822","I was charged in the wrong currency, leading to a higher bill.","OTHERS"
"D823","The ATM dispensed less cash than the amount I requested and was debited for.","OTHERS"
"D824","My NEFT transfer was credited to the wrong beneficiary account.","OTHERS"
"D825","I don't recognize the merchant's name on my statement, but the amount looks familiar.","OTHERS"
"D826","The cashier charged me for an item I did not purchase.","OTHERS"
"D827","This is a payment I made to my credit card, but it's not reflecting on my bill.","OTHERS"
"D828","The tip amount added to the restaurant bill is wrong.","OTHERS"
"D829","Can you provide more details about this transaction? The description is too vague.","OTHERS"
"D830","The ATM captured my card. This charge is related to that incident.","OTHERS"
"D831","My payment was sent to the wrong person's phone number by mistake.","OTHERS"
"D832","This is a recurring payment for a service, but the amount has suddenly increased without notice.","OTHERS"
"D833","I was charged a cash advance fee for a transaction that was not a cash advance.","OTHERS"
"D834","I was billed for a higher subscription tier than the one I signed up for.","OTHERS"
"D835","The discount that was promised at checkout was not applied to the final charge.","OTHERS"
"D836","This transaction should have been processed as a credit, not a debit.","OTHERS"
"D837","The tax calculated on this purchase is incorrect.","OTHERS"
"D838","The hotel charged me for mini-bar items that I did not consume.","OTHERS"
"D839","I need a copy of the charge slip for this transaction for my records.","OTHERS"
"D840","The final amount is different from the pre-authorization amount.","OTHERS"
"D841","I am being charged for a service that was supposed to be free.","OTHERS"
"D842","This payment was meant for a different biller.","OTHERS"
"D843","The merchant charged me for 10 items, but I only bought 2.","OTHERS"
"D844","This is a credit from a merchant that has not been applied to my account balance.","OTHERS"
"D845","My automatic payment was for the wrong amount this month.","OTHERS"
"D846","I have a query about the exchange rate used for this international transaction.","OTHERS"
"D847","The rental car company has billed me for extra mileage I did not incur.","OTHERS"
"D848","I cancelled this in-app purchase immediately, but the charge remains.","OTHERS"
"D849","The payment was made to my old account number which is now closed.","OTHERS"
"D850","I am being billed for a subscription that belongs to a family member, not me.","OTHERS"
"D851","The ATM did not dispense a receipt, and I think the charge is wrong.","OTHERS"
"D852","I'm inquiring about a 'service fee' that was added to my bill. What is it for?","OTHERS"
"D853","The amount debited from my account does not match my receipt.","OTHERS"
"D854","This charge is from a merchant I use, but I don't remember making this specific purchase.","OTHERS"
"D855","The airline has charged me for baggage that should have been included in my fare.","OTHERS"
"D856","I topped up my travel card, but the balance has not been updated.","OTHERS"
"D857","I paid this bill via another method, so this automatic debit should not have happened.","OTHERS"
"D858","This transaction has been posted with the wrong date.","OTHERS"
"D859","The merchant is billing me for a period after my contract had expired.","OTHERS"
"D860","I made a payment to clear my balance, but I am still being charged interest.","OTHERS"
"D861","The amount was debited from my account but the recipient's name is wrong.","OTHERS"
"D862","I have a question about the breakdown of charges for this hotel stay.","OTHERS"
"D863","The loyalty points I used for this purchase were not applied correctly.","OTHERS"
"D864","This payment was applied to the wrong invoice by the merchant.","OTHERS"
"D865","I was charged for a full month of service, but I only signed up mid-month.","OTHERS"
"D866","This transaction is coded incorrectly, affecting my expense report.","OTHERS"
"D867","The currency of this transaction is wrong. It should be in EUR, not GBP.","OTHERS"
"D868","My deposit for the rental was not returned in full.","OTHERS"
"D869","The item was on sale, but I was charged the full price.","OTHERS"
"D870","The amount on the printed receipt is different from what is on my statement.","OTHERS"
"D871","I am being charged a late fee, but I paid my bill on time.","OTHERS"
"D872","The charge is for a different service than the one I requested.","OTHERS"
"D873","This credit was supposed to be for a larger amount.","OTHERS"
"D874","The merchant swiped my card for the wrong table's bill.","OTHERS"
"D875","I'm being charged for an extended warranty that I declined.","OTHERS"
"D876","This debit is for the wrong policy number.","OTHERS"
"D877","The merchant's name appears as a series of numbers and letters, I can't identify it.","OTHERS"
"D878","The installment amount for my EMI is incorrect this month.","OTHERS"
"D879","I am disputing the quantity of the items I was billed for.","OTHERS"
"D880","This transaction should have been tax-exempt.","OTHERS"
"D881","The payment was for my friend, but it was deducted from my account.","OTHERS"
"D882","I paid a bill, but the provider says they have no record of it and are still demanding payment.","OTHERS"
"D883","There are hidden fees in this transaction that were not disclosed.","OTHERS"
"D884","I was given a quote for one price, but have been billed for another.","OTHERS"
"D885","The cashback reward for this purchase has not been credited to my account.","OTHERS"
"D886","I want to understand why there are two separate charges from this one merchant on the same day.","OTHERS"
"D887","This payment was sent with the wrong reference number.","OTHERS"
"D888","I have been charged a membership fee for an account I closed last year.","OTHERS"
"D889","The final charge on my card is higher than the amount I signed for on the receipt.","OTHERS"
"D890","This transaction is for a product I received, but it's a different model than I ordered.","OTHERS"
